PAYIN_ID|REFBILL_NO|TRANSFER_DATE|TRAN_DATE|BUS_DATE|SHIFT_DESCRIPTION|LAST_CLOSE_SHIFT_DT|FILEPATH|FILENAME|TYPE|PAYMENT_TYPE|AMOUNTREC|AMOUNT|AMOUNT_DIFF|REMARK|STATUS_SAP|STATUS|NO_SALE_STATUS|CREATEDATE|CREATEBY|UPDATEDATE|UPDATEBY
1839||5/7/2559|5/7/2559|4/7/2559|||D:\6211\20160705\|Report.jpg|3|1||261069.1000||||3||5/7/2559 13:51:13|2|5/7/2559 15:54:45|1
1840|060720161|6/7/2559|6/7/2559|6/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 06/07/2559 00:03:48 - 06/07/2559 13:06:36|6/7/2559 13:06:36|D:\6211\20160706\|Payin1.jpg|1|1|134024.2000|134025.0000|0.8000||2|3|0|6/7/2559 13:14:10|1|6/7/2559 14:59:46|1
1841|050720162|6/7/2559|6/7/2559|5/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 05/07/2559 13:06:41 - 05/07/2559 23:32:08,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20160706\|Payin2.jpg|2|1|168347.4000|168348.0000|0.6000||2|3|0|6/7/2559 13:14:10|1|6/7/2559 14:59:47|1
1842||6/7/2559|6/7/2559|5/7/2559|||D:\6211\20160706\|report.pdf|3|1||304987.4000||||3||6/7/2559 13:14:10|1|6/7/2559 14:59:45|1
1843|070720161|7/7/2559|7/7/2559|7/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 07/07/2559 00:05:41 - 07/07/2559 13:35:43|7/7/2559 13:35:43|D:\6211\20160707\|Payin1.jpg|1|1|123551.4000|123552.0000|0.6000||2|3|0|7/7/2559 13:39:30|1|7/7/2559 15:35:19|1
1844|060720162|7/7/2559|7/7/2559|6/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 06/07/2559 13:07:33 - 06/07/2559 23:34:13,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20160707\|Payin2.jpg|2|1|148046.5000|148047.0000|0.5000||2|3|0|7/7/2559 13:39:30|1|7/7/2559 15:35:20|1
1845||7/7/2559|7/7/2559|6/7/2559|||D:\6211\20160707\|report.pdf|3|1||282071.5000||||3||7/7/2559 13:39:30|1|7/7/2559 15:35:18|1
1846|080720161|8/7/2559|8/7/2559|8/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 08/07/2559 00:01:07 - 08/07/2559 13:38:17|8/7/2559 13:38:17|D:\6211\20160708\|Payin1.jpg|1|1|132114.2000|132115.0000|0.8000||2|3|0|8/7/2559 13:51:43|1|8/7/2559 16:22:19|1
1847|070720162|8/7/2559|8/7/2559|7/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 07/07/2559 13:36:14 - 07/07/2559 23:41:50,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20160708\|Payin2.jpg|2|1|134958.6000|134959.0000|0.4000||2|3|0|8/7/2559 13:51:43|1|8/7/2559 16:22:20|1
1848||8/7/2559|8/7/2559|7/7/2559|||D:\6211\20160708\|report.pdf|3|1||258510.6000||||3||8/7/2559 13:51:43|1|8/7/2559 16:22:18|1
1849|090720161|9/7/2559|9/7/2559|9/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 09/07/2559 00:01:59 - 09/07/2559 13:23:34|9/7/2559 13:23:34|D:\6211\20160709\|Payin1.jpg|1|1|144487.5000|144488.0000|0.5000||2|3|0|9/7/2559 14:55:17|3|9/7/2559 14:58:58|3
1850|080720162|9/7/2559|9/7/2559|8/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 08/07/2559 13:39:32 - 08/07/2559 23:45:44,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20160709\|Payin2.jpg|2|1|143061.3000|143062.0000|0.7000||2|3|0|9/7/2559 14:55:17|3|9/7/2559 14:58:59|3
1851||9/7/2559|9/7/2559|8/7/2559|||D:\6211\20160709\|report.pdf|3|1||275176.3000||||3||9/7/2559 14:55:17|3|9/7/2559 14:58:55|3
1852|100720161|10/7/2559|10/7/2559|10/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 10/07/2559 00:01:49 - 10/07/2559 13:38:39|10/7/2559 13:38:39|D:\6211\20160710\|Payin1.jpg|1|1|147612.0000|147612.0000|0.0000||2|3|0|10/7/2559 16:57:28|1|10/7/2559 16:58:22|1
1853|090720162|10/7/2559|10/7/2559|9/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 09/07/2559 13:24:59 - 09/07/2559 23:49:22,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20160710\|Payin2.jpg|2|1|129841.3000|129842.0000|0.7000||2|3|0|10/7/2559 16:57:28|1|10/7/2559 16:58:24|1
1854||10/7/2559|10/7/2559|9/7/2559|||D:\6211\20160710\|report.pdf|3|1||274329.3000||||3||10/7/2559 16:57:28|1|10/7/2559 16:58:21|1
1855|110720161|11/7/2559|11/7/2559|11/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 11/07/2559 00:01:28 - 11/07/2559 13:41:27|11/7/2559 13:41:27|D:\6211\20160711\|Payin1.jpg|1|1|122482.0000|122482.0000|0.0000||1|3|0|11/7/2559 13:53:08|1|11/7/2559 15:47:53|2
1856|100720162|11/7/2559|11/7/2559|10/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 10/07/2559 13:40:11 - 10/07/2559 23:48:55,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20160711\|Payin2.jpg|2|1|147448.9000|147449.0000|0.1000||1|3|0|11/7/2559 13:53:08|1|11/7/2559 15:47:54|2
1857||11/7/2559|11/7/2559|10/7/2559|||D:\6211\20160711\|report.pdf|3|1||295060.9000||||3||11/7/2559 13:53:08|1|11/7/2559 15:47:53|2
1858|120720161|12/7/2559|12/7/2559|12/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 12/07/2559 00:00:07 - 12/07/2559 13:22:35|12/7/2559 13:22:35|D:\6211\20160712\|Payin1.jpg|1|1|130232.4000|130233.0000|0.6000||1|3|0|12/7/2559 14:05:34|1|12/7/2559 15:30:24|1
1859|110720162|12/7/2559|12/7/2559|11/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 4 11/07/2559 13:44:44 - 11/07/2559 23:47:43,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20160712\|Payin2.jpg|2|1|134795.3000|134796.0000|0.7000||1|3|0|12/7/2559 14:05:34|1|12/7/2559 15:30:25|1
1860||12/7/2559|12/7/2559|11/7/2559|||D:\6211\20160712\|report.pdf|3|1||257277.3000||||3||12/7/2559 14:05:34|1|12/7/2559 15:30:23|1
1861|130720161|13/7/2559|13/7/2559|13/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 13/07/2559 00:01:39 - 13/07/2559 14:04:13|13/7/2559 14:04:13|D:\6211\20160713\|Payin1.jpg|1|1|146746.0000|146746.0000|0.0000||1|3|0|13/7/2559 14:26:27|1|13/7/2559 15:57:40|3
1862|120720162|13/7/2559|13/7/2559|12/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 12/07/2559 13:23:10 - 12/07/2559 23:47:46,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20160713\|Payin2.jpg|2|1|146449.9000|146450.0000|0.1000||1|3|0|13/7/2559 14:26:27|1|13/7/2559 15:57:41|3
1863||13/7/2559|13/7/2559|12/7/2559|||D:\6211\20160713\|report.pdf|3|1||276682.9000||||3||13/7/2559 14:26:27|1|13/7/2559 15:57:39|3
1864|140720161|14/7/2559|14/7/2559|14/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 14/07/2559 02:25:45 - 14/07/2559 13:47:00|14/7/2559 13:47:00|D:\6211\20160714\|Payin1.jpg|1|1|146605.3000|146606.0000|0.7000||1|3|0|14/7/2559 14:02:35|2|14/7/2559 15:39:20|2
1865|130720162|14/7/2559|14/7/2559|13/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 13/07/2559 14:04:38 - 13/07/2559 22:12:50,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20160714\|Payin2.jpg|2|1|67974.0000|67974.0000|0.0000||1|3|0|14/7/2559 14:02:35|2|14/7/2559 15:39:21|2
1866||14/7/2559|14/7/2559|13/7/2559|||D:\6211\20160714\|report.pdf|3|1||214720.0000||||3||14/7/2559 14:02:35|2|14/7/2559 15:39:19|2
1867|150720161|15/7/2559|15/7/2559|15/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 15/07/2559 00:01:31 - 15/07/2559 13:58:34|15/7/2559 13:58:34|D:\6211\20160715\|Payin1.jpg|1|1|139729.2900|139730.0000|0.7100||1|3|0|15/7/2559 14:08:26|1|15/7/2559 16:58:06|3
1868|140720162|15/7/2559|15/7/2559|14/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 14/07/2559 13:48:22 - 14/07/2559 23:48:50,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20160715\|Payin2.jpg|2|1|152436.0000|152436.0000|0.0000||1|3|0|15/7/2559 14:08:26|1|15/7/2559 16:58:07|3
1869||15/7/2559|15/7/2559|14/7/2559|||D:\6211\20160715\|report.pdf|3|1||299042.0000||||3||15/7/2559 14:08:26|1|15/7/2559 16:58:05|3
1870|160720161|16/7/2559|16/7/2559|16/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 16/07/2559 00:01:26 - 16/07/2559 13:54:02|16/7/2559 13:54:02|D:\6211\20160716\|Payin1.jpg|1|1|168403.9000|168404.0000|0.1000||1|3|0|16/7/2559 14:04:43|3|16/7/2559 15:24:12|2
1871|150720162|16/7/2559|16/7/2559|15/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 15/07/2559 13:59:08 - 15/07/2559 23:47:22,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20160716\|Payin2.jpg|2|1|168318.1900|168319.0000|0.8100||1|3|0|16/7/2559 14:04:43|3|16/7/2559 15:24:19|2
1872||16/7/2559|16/7/2559|15/7/2559|||D:\6211\20160716\|report.pdf|3|1||308048.1900||||3||16/7/2559 14:04:43|3|16/7/2559 15:24:07|2
1873|170720161|17/7/2559|17/7/2559|17/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 17/07/2559 00:03:45 - 17/07/2559 14:00:23|17/7/2559 14:00:23|D:\6211\20160717\|Payin1.jpg|1|1|133291.0000|133291.0000|0.0000||1|3|0|17/7/2559 14:04:29|3|17/7/2559 15:13:13|1
1874|160720162|17/7/2559|17/7/2559|16/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 16/07/2559 13:55:23 - 16/07/2559 23:51:15,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20160717\|Payin2.jpg|2|1|141100.1000|141101.0000|0.9000||1|3|0|17/7/2559 14:04:29|3|17/7/2559 15:13:14|1
1875||17/7/2559|17/7/2559|16/7/2559|||D:\6211\20160717\|report.pdf|3|1||309504.1000||||3||17/7/2559 14:04:29|3|17/7/2559 15:13:12|1
1876|180720161|18/7/2559|18/7/2559|18/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 18/07/2559 00:04:18 - 18/07/2559 14:06:07|18/7/2559 14:06:07|D:\6211\20160718\|Payin1.jpg|1|1|125970.3000|125971.0000|0.7000||1|3|0|18/7/2559 14:28:57|2|18/7/2559 15:22:51|3
1877|170720162|18/7/2559|18/7/2559|17/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 17/07/2559 14:00:48 - 17/07/2559 23:49:13,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20160718\|Payin2.jpg|2|1|107001.0000|107001.0000|0.0000||1|3|0|18/7/2559 14:28:57|2|18/7/2559 15:22:53|3
1878||18/7/2559|18/7/2559|17/7/2559|||D:\6211\20160718\|report.pdf|3|1||240292.0000||||3||18/7/2559 14:28:57|2|18/7/2559 15:22:49|3
1879|190720161|19/7/2559|19/7/2559|19/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 19/07/2559 00:03:15 - 19/07/2559 14:03:50|19/7/2559 14:03:50|D:\6211\20160719\|Payin1.jpg|1|1|122779.3000|122780.0000|0.7000||1|3|0|19/7/2559 14:17:19|1|19/7/2559 15:05:19|3
