MAT_ID|BASE_UOM|ALTERNATIVE_UOM|NUMERATOR|DENOMINATOR|NORMAL_SIZE_L|BASE_UOM_BLOCK|DAY_ID|SHIFT_NO|CREATEDATE|MODDATE|MODBY
400521|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400522|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400523|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400524|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400525|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400526|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400527|PAK|L|1.00000|30.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400528|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400529|BOT|L|1.00000|4.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400530|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400531|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:11|17/12/2558 19:30:11|Opass Chaisiri : 0892067304
400532|PAK|L|1.00000|12.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400533|BOT|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400534|BOT|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400535|DR|L|10.00000|3168.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400536|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:11|17/12/2558 19:30:11|Opass Chaisiri : 0892067304
400537|DR|L|1000.00000|18925.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400538|DR|L|1000.00000|18925.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400539|PAK|L|100.00000|936.00000|| |0|0|17/12/2558 19:30:13|17/12/2558 19:30:13|Opass Chaisiri : 0892067304
400540|DR|L|1.00000|1000.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
